Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Magnetometer,Clouds
58,2023-05-03 04:25:22.186129,-10.468496991024484,-103.98313323023328,31.9154,29.5087,"{'x': 35.02423858642578, 'y': 33.02427673339844, 'z': -11.752336502075195}",0.0
59,2023-05-03 04:25:52.881856,-8.91761879992867,-102.845275266418,31.8265,29.7259,"{'x': 35.540496826171875, 'y': 33.34596252441406, 'z': -10.579241752624512}",0.0
60,2023-05-03 04:26:23.594864,-7.361392951579668,-101.71735792330574,31.5776,29.8055,"{'x': 35.46523666381836, 'y': 33.6903190612793, 'z': -9.822318077087402}",0.0
61,2023-05-03 04:26:54.306011,-5.801789360136211,-100.5983125741469,31.5065,29.2058,"{'x': 35.405723571777344, 'y': 33.92349624633789, 'z': -8.668739318847656}",0.0
62,2023-05-03 04:27:25.016648,-4.239282670803106,-99.48602583143857,31.8265,29.4964,"{'x': 35.2161979675293, 'y': 34.20520782470703, 'z': -7.359683513641357}",0.0
63,2023-05-03 04:27:55.687478,-2.6749364499600654,-98.37884406681972,32.5555,29.5362,"{'x': 35.028873443603516, 'y': 34.55171203613281, 'z': -6.090737342834473}",0.0
64,2023-05-03 04:28:26.384648,-1.1109806400102504,-97.27595969715807,31.9332,29.5638,"{'x': 34.825462341308594, 'y': 34.82232666015625, 'z': -4.713308334350586}",0.0
65,2023-05-03 04:28:57.086637,0.4546794506644873,-96.17353743173439,32.4666,29.7688,"{'x': 34.785926818847656, 'y': 35.02814483642578, 'z': -3.6793155670166016}",0.0
66,2023-05-03 04:29:27.778133,2.019840386319262,-95.07078205774368,31.3998,29.4873,"{'x': 34.7143440246582, 'y': 35.27256393432617, 'z': -2.528552532196045}",0.0
67,2023-05-03 04:29:58.479149,3.5848002483804566,-93.96512951757707,31.3464,29.4261,"{'x': 34.683135986328125, 'y': 35.29664611816406, 'z': -1.4061628580093384}",0.0
68,2023-05-03 04:30:29.187261,5.147878237607289,-92.85539696603784,31.5776,29.5576,"{'x': 34.713890075683594, 'y': 35.4036865234375, 'z': 0.05067060515284538}",0.0
69,2023-05-03 04:30:59.894687,6.7088472313110925,-91.73934889934542,32.2888,29.1048,"{'x': 34.67057418823242, 'y': 35.623287200927734, 'z': 1.2380341291427612}",0.0
70,2023-05-03 04:31:30.576637,8.265481260706432,-90.61615179229585,31.6665,29.4964,"{'x': 34.6587028503418, 'y': 35.739376068115234, 'z': 2.4867806434631348}",0.0
71,2023-05-03 04:32:01.257271,9.818689449408598,-89.4826741588101,31.3464,29.4628,"{'x': 34.80585479736328, 'y': 35.76184844970703, 'z': 3.724782943725586}",0.0
72,2023-05-03 04:32:31.956483,11.366249505999752,-88.33800077715966,31.7198,29.6311,"{'x': 34.87592315673828, 'y': 35.761844635009766, 'z': 4.825712203979492}",0.0
73,2023-05-03 04:33:02.566838,12.909067908803097,-87.17884376969414,32.3244,29.6861,"{'x': 35.037086486816406, 'y': 35.81027603149414, 'z': 6.045436859130859}",0.0
74,2023-05-03 04:33:33.269376,14.440461546973966,-86.00760664292703,31.2931,29.3098,"{'x': 35.05939865112305, 'y': 35.83205795288086, 'z': 7.3400444984436035}",0.0
75,2023-05-03 04:34:03.981188,15.969159464299333,-84.8148201883053,31.702,29.4169,"{'x': 35.125003814697266, 'y': 35.8563232421875, 'z': 8.497525215148926}",0.0
76,2023-05-03 04:34:34.692459,17.489877621082645,-83.6015717919358,32.2888,30.1849,"{'x': 35.22319793701172, 'y': 35.764102935791016, 'z': 9.631977081298828}",0.0
77,2023-05-03 04:35:05.377407,19.001120598793534,-82.36599747666035,31.8265,29.5026,"{'x': 35.45789337158203, 'y': 35.6304817199707, 'z': 11.000518798828125}",0.0
78,2023-05-03 04:35:36.074894,20.50041116318668,-81.10698395053767,31.3464,29.5638,"{'x': 35.56138229370117, 'y': 35.48876190185547, 'z': 11.899971008300781}",0.0
79,2023-05-03 04:36:06.787285,21.98898460085986,-79.82017041658781,31.6131,29.7014,"{'x': 35.568363189697266, 'y': 35.395076751708984, 'z': 13.144648551940918}",0.0
80,2023-05-03 04:36:37.504749,23.465604603648195,-78.503039781226,31.5598,29.4934,"{'x': 35.6773567199707, 'y': 35.24182891845703, 'z': 14.444174766540527}",0.0
81,2023-05-03 04:37:08.190605,24.928360570800738,-77.1535369602509,31.3109,29.4934,"{'x': 35.644630432128906, 'y': 35.021427154541016, 'z': 15.362799644470215}",0.0
82,2023-05-03 04:37:38.882616,26.374009668935656,-75.77080741905196,31.2931,29.4812,"{'x': 35.8214225769043, 'y': 34.837677001953125, 'z': 16.27583122253418}",0.0
83,2023-05-03 04:38:09.583843,27.80395648450164,-74.34939418919635,31.3287,29.4964,"{'x': 35.957984924316406, 'y': 34.6646614074707, 'z': 17.300457000732422}",0.0
84,2023-05-03 04:38:40.300736,29.21585887799897,-72.88715575425778,31.0975,29.4108,"{'x': 36.141605377197266, 'y': 34.530582427978516, 'z': 18.406829833984375}",0.0
85,2023-05-03 04:39:10.995884,30.607991467302515,-71.38119361311935,31.5065,29.4812,"{'x': 36.23225021362305, 'y': 34.33034896850586, 'z': 19.46573829650879}",0.0
86,2023-05-03 04:39:41.703016,31.979240509970904,-69.82770118162802,31.5776,29.8361,"{'x': 36.346458435058594, 'y': 34.01696014404297, 'z': 20.374406814575195}",0.0
87,2023-05-03 04:40:12.409043,33.32701589516274,-68.22430265793575,31.1331,29.3557,"{'x': 36.41006851196289, 'y': 33.79804992675781, 'z': 21.258901596069336}",0.0
88,2023-05-03 04:40:43.113062,34.649366615191504,-66.56774760790614,31.5954,29.2486,"{'x': 36.556854248046875, 'y': 33.44102096557617, 'z': 22.0408878326416}",0.0
89,2023-05-03 04:41:13.817973,35.94445499580513,-64.85440622314827,31.3642,29.3679,"{'x': 36.614524841308594, 'y': 33.18402099609375, 'z': 22.88348960876465}",0.0
90,2023-05-03 04:41:44.478437,37.20968944624466,-63.081438272478714,31.4887,29.6158,"{'x': 36.773399353027344, 'y': 32.76185607910156, 'z': 23.815080642700195}",0.0
91,2023-05-03 04:42:15.192166,38.442923640441414,-61.245239403345664,31.1509,29.3282,"{'x': 36.795501708984375, 'y': 32.357967376708984, 'z': 24.645551681518555}",0.0
92,2023-05-03 04:42:45.898695,39.64265743061475,-59.34088195432906,31.4709,29.3557,"{'x': 36.814208984375, 'y': 32.000709533691406, 'z': 25.255102157592773}",0.0
93,2023-05-03 04:43:16.605938,40.804827567451945,-57.36731599729192,31.1509,29.4781,"{'x': 36.92103576660156, 'y': 31.482019424438477, 'z': 25.97828483581543}",0.0
94,2023-05-03 04:43:47.317119,41.928597981044405,-55.31793093478667,32.1288,29.6494,"{'x': 36.87572479248047, 'y': 30.968671798706055, 'z': 26.635944366455078}",0.0
95,2023-05-03 04:44:18.027529,43.008758948011845,-53.19384090688791,32.1643,29.6923,"{'x': 36.94500732421875, 'y': 30.60356903076172, 'z': 27.135921478271484}",0.0
96,2023-05-03 04:44:48.745260,44.04302779364758,-50.99104809134106,31.1509,29.3373,"{'x': 37.049503326416016, 'y': 30.080364227294922, 'z': 27.793155670166016}",0.0
97,2023-05-03 04:45:19.432115,45.02805341458678,-48.70768256864411,32.1466,29.7076,"{'x': 37.13286209106445, 'y': 29.665199279785156, 'z': 28.467748641967773}",0.0
98,2023-05-03 04:45:50.135441,45.959429933238134,-46.34498297000526,32.0932,29.8116,"{'x': 37.244361877441406, 'y': 29.26018714904785, 'z': 28.992280960083008}",0.0
99,2023-05-03 04:46:20.845336,46.83508161632958,-43.89887255295435,31.3642,29.5362,"{'x': 37.16330337524414, 'y': 28.917207717895508, 'z': 29.3197078704834}",0.0
100,2023-05-03 04:46:51.546319,47.6510891073049,-41.37034349001422,31.8798,29.6708,"{'x': 36.97353744506836, 'y': 28.52079963684082, 'z': 29.833316802978516}",0.0
101,2023-05-03 04:47:22.246997,48.40345057071598,-38.76200060061824,31.4887,29.5668,"{'x': 36.904754638671875, 'y': 28.098752975463867, 'z': 30.314865112304688}",0.0
102,2023-05-03 04:47:52.958483,49.08882364359957,-36.07567841382803,31.1686,29.576,"{'x': 36.82969284057617, 'y': 27.719772338867188, 'z': 30.542381286621094}",0.0
103,2023-05-03 04:48:23.674101,49.703968500361114,-33.31399112237728,31.2398,29.2823,"{'x': 36.835426330566406, 'y': 27.165508270263672, 'z': 30.84869384765625}",0.0
104,2023-05-03 04:48:54.396799,50.24536292318042,-30.482588618375086,31.1153,29.6953,"{'x': 36.762840270996094, 'y': 26.623149871826172, 'z': 30.978092193603516}",0.0
105,2023-05-03 04:49:25.107154,50.709873775042624,-27.587901202539435,31.6843,29.4934,"{'x': 36.70083236694336, 'y': 26.31709861755371, 'z': 31.398075103759766}",0.46
106,2023-05-03 04:49:55.822863,51.094482556231064,-24.639335517050878,31.1686,29.6403,"{'x': 36.58653259277344, 'y': 25.72491455078125, 'z': 31.55081558227539}",0.41
107,2023-05-03 04:50:26.537612,51.397010554731175,-21.644390142527403,31.1153,29.4322,"{'x': 36.414188385009766, 'y': 25.277090072631836, 'z': 31.743953704833984}",0.32
108,2023-05-03 04:50:57.238915,51.61538814358177,-18.614297882510066,31.3998,29.5087,"{'x': 36.38983154296875, 'y': 24.867992401123047, 'z': 31.978384017944336}",0.4
109,2023-05-03 04:51:27.967160,51.74819068444794,-15.560406197168795,31.1686,29.3557,"{'x': 36.39457321166992, 'y': 24.257423400878906, 'z': 32.02455139160156}",0.38
110,2023-05-03 04:51:58.694946,51.79457119075703,-12.491146875395556,31.4531,29.6647,"{'x': 36.38788986206055, 'y': 23.943233489990234, 'z': 32.24375534057617}",0.41
111,2023-05-03 04:52:29.417354,51.754081251007044,-9.422549640336877,31.9688,29.6188,"{'x': 36.459266662597656, 'y': 23.81023406982422, 'z': 32.42431640625}",0.38
112,2023-05-03 04:53:00.136334,51.62702291877001,-6.365600550093514,31.2042,29.4475,"{'x': 36.38413619995117, 'y': 23.47850227355957, 'z': 32.363887786865234}",0.26
113,2023-05-03 04:53:30.855945,51.41429311553924,-3.3326872169995876,31.8798,29.4812,"{'x': 36.244483947753906, 'y': 23.006919860839844, 'z': 32.29762649536133}",0.15
114,2023-05-03 04:54:01.575325,51.1173028389063,-0.33464726178688414,31.1153,29.4077,"{'x': 36.2789192199707, 'y': 22.553531646728516, 'z': 32.459171295166016}",0.0
115,2023-05-03 04:54:32.300169,50.73798571738385,2.6181974102288947,31.2931,29.5117,"{'x': 36.210960388183594, 'y': 22.360578536987305, 'z': 32.462371826171875}",0.0
116,2023-05-03 04:55:03.039009,50.278649028241446,5.517102247397823,31.7554,29.0589,"{'x': 36.18988037109375, 'y': 21.97198486328125, 'z': 32.56528854370117}",0.0
117,2023-05-03 04:55:33.764695,49.7418608110106,8.354921117026635,31.8087,29.5791,"{'x': 36.111610412597656, 'y': 21.5687198638916, 'z': 32.59970474243164}",0.84
118,2023-05-03 04:56:04.488889,49.13117320227796,11.12258793880834,30.9908,29.4934,"{'x': 36.1474609375, 'y': 21.165477752685547, 'z': 32.582130432128906}",3.06
119,2023-05-03 04:56:35.216827,48.44973545200529,13.815973419790685,31.0797,29.2976,"{'x': 36.130489349365234, 'y': 20.757295608520508, 'z': 32.59870910644531}",18.04
120,2023-05-03 04:57:05.926738,47.70097695843152,16.43145721347222,31.382,29.4108,"{'x': 36.14297866821289, 'y': 20.26563262939453, 'z': 32.6110725402832}",16.92
121,2023-05-03 04:57:36.626965,46.8888247089697,18.96541002523336,31.0086,29.1262,"{'x': 36.2409553527832, 'y': 19.97566032409668, 'z': 32.46357345581055}",11.11
122,2023-05-03 04:58:07.303518,46.016939179352285,21.41657336030545,30.9019,29.4812,"{'x': 36.221221923828125, 'y': 19.61968994140625, 'z': 32.54579162597656}",48.5
123,2023-05-03 04:58:38.000071,45.08935606063706,23.783724865053156,31.9688,29.3282,"{'x': 36.425804138183594, 'y': 19.09482765197754, 'z': 32.69810104370117}",111.92
124,2023-05-03 04:59:08.663271,44.10826053570313,26.07082558214556,31.0442,29.3985,"{'x': 36.498435974121094, 'y': 18.689823150634766, 'z': 32.63376235961914}",164.8
125,2023-05-03 04:59:39.332264,43.07881858636522,28.27519369612408,31.9865,29.6035,"{'x': 36.6609001159668, 'y': 18.264205932617188, 'z': 32.58540344238281}",173.25
126,2023-05-03 05:00:10.002003,42.00306470933601,30.4016525760291,30.9908,29.5882,"{'x': 36.82848358154297, 'y': 17.733062744140625, 'z': 32.40192794799805}",154.86
127,2023-05-03 05:00:40.683049,40.88432858863388,32.452162810358836,31.4176,29.472,"{'x': 37.00761413574219, 'y': 17.418319702148438, 'z': 32.100650787353516}",142.75
128,2023-05-03 05:01:11.330650,39.7251576137554,34.430202755831296,31.3109,28.6734,"{'x': 37.09162902832031, 'y': 16.995197296142578, 'z': 31.956022262573242}",133.17
129,2023-05-03 05:01:41.995284,38.530180479163946,36.33587803893863,31.2042,29.4353,"{'x': 37.366058349609375, 'y': 16.510591506958008, 'z': 31.7071590423584}",126.83
130,2023-05-03 05:02:12.639725,37.300170924117715,38.17553993291749,32.0754,29.5362,"{'x': 37.38349151611328, 'y': 15.90218448638916, 'z': 31.654905319213867}",69.85
131,2023-05-03 05:02:43.294692,36.03897718448692,39.95051779300891,31.382,29.3037,"{'x': 37.48039627075195, 'y': 15.314725875854492, 'z': 31.62706756591797}",44.86
132,2023-05-03 05:03:13.980091,34.74787964196888,41.66574715482913,31.382,29.7779,"{'x': 37.64866256713867, 'y': 14.67321491241455, 'z': 31.16561508178711}",101.78
133,2023-05-03 05:03:44.662950,33.42842353565984,43.325342798219694,31.2575,29.3741,"{'x': 37.720218658447266, 'y': 13.92740535736084, 'z': 31.08352279663086}",138.7
134,2023-05-03 05:04:15.295884,32.08453995284445,44.93030436719207,31.4531,29.166,"{'x': 37.868125915527344, 'y': 13.34382438659668, 'z': 30.74762725830078}",120.27
135,2023-05-03 05:04:45.991132,30.717241337369526,46.4851104947801,31.2575,29.2241,"{'x': 37.94974136352539, 'y': 12.665122032165527, 'z': 30.509506225585938}",86.49
136,2023-05-03 05:05:16.634871,29.326936582031394,47.994462509009566,31.3642,29.4689,"{'x': 38.10267639160156, 'y': 11.86992359161377, 'z': 29.940277099609375}",100.76
137,2023-05-03 05:05:47.311237,27.919155376243523,49.45739772179217,31.4887,29.6433,"{'x': 38.34410858154297, 'y': 11.186014175415039, 'z': 29.226848602294922}",153.77
138,2023-05-03 05:06:17.989472,26.49166124480503,50.880990950322754,31.2575,29.5485,"{'x': 38.3994255065918, 'y': 10.414161682128906, 'z': 28.710853576660156}",158.73
139,2023-05-03 05:06:48.654124,25.04731794041827,52.26670852100357,31.4887,29.4108,"{'x': 38.61243438720703, 'y': 9.493040084838867, 'z': 28.413007736206055}",171.22
140,2023-05-03 05:07:19.325491,23.588232068993726,53.61672639855114,31.222,29.4536,"{'x': 38.7637825012207, 'y': 8.880949020385742, 'z': 27.6176815032959}",163.85
141,2023-05-03 05:07:49.978975,22.114807836503388,54.934623135044085,32.2177,29.4261,"{'x': 38.93954849243164, 'y': 7.982261657714844, 'z': 26.650699615478516}",123.99
142,2023-05-03 05:08:20.663591,20.629434170736197,56.222006605994295,31.6665,29.4659,"{'x': 39.15094757080078, 'y': 7.213371276855469, 'z': 25.940866470336914}",103.68
143,2023-05-03 05:08:51.322612,19.130883178022348,57.48344337380142,32.2888,29.3129,"{'x': 39.28641128540039, 'y': 6.483848571777344, 'z': 24.87567710876465}",87.86
144,2023-05-03 05:09:21.985651,17.623065659383673,58.71898120741454,31.702,29.3159,"{'x': 39.47770309448242, 'y': 5.800053119659424, 'z': 24.06184196472168}",116.88
145,2023-05-03 05:09:52.670615,16.105480818511904,59.93225316167871,31.3998,30.1634,"{'x': 39.88043975830078, 'y': 4.932555675506592, 'z': 23.1331729888916}",152.19
146,2023-05-03 05:10:23.331954,14.578343267789187,61.126096590961815,31.3464,28.958,"{'x': 40.1237907409668, 'y': 4.018904685974121, 'z': 22.023181915283203}",155.56
147,2023-05-03 05:10:53.996811,13.044800744064931,62.300970117120755,31.4353,29.4353,"{'x': 40.29133605957031, 'y': 3.1241278648376465, 'z': 20.880168914794922}",129.65
148,2023-05-03 05:11:24.653225,11.504417002526196,63.460032041244055,31.3998,29.0681,"{'x': 40.48027038574219, 'y': 2.3600003719329834, 'z': 19.840267181396484}",19.44
149,2023-05-03 05:11:55.322895,9.958671159545572,64.60487316697898,31.7732,29.3679,"{'x': 40.58582305908203, 'y': 1.485266089439392, 'z': 18.686281204223633}",0.01
150,2023-05-03 05:12:25.990758,8.407323478479517,65.7382803998943,31.7909,29.0222,"{'x': 40.841278076171875, 'y': 0.7935733795166016, 'z': 17.37911033630371}",0.0
151,2023-05-03 05:12:56.671255,6.851954410662319,66.86163041029887,31.4531,29.1446,"{'x': 41.04662322998047, 'y': 0.02971455827355385, 'z': 15.990781784057617}",23.55
152,2023-05-03 05:13:27.330562,5.292609451374565,67.97736356908258,31.4531,29.2547,"{'x': 41.14273452758789, 'y': -0.6144603490829468, 'z': 14.541436195373535}",5.22
153,2023-05-03 05:13:57.981339,3.7318028343276293,69.08611312884335,31.7554,29.062,"{'x': 41.242610931396484, 'y': -1.3693989515304565, 'z': 13.233420372009277}",59.32
